nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000796	Dana Ashbrook	1967	\N	actor,writer,archive_footage	tt0105665,tt0098936,tt5334704,tt0095990
nm0000799	Edward Asner	1929	2021	actor,producer,miscellaneous	tt1049413,tt0065314,tt0319343,tt0102138
nm0000800	Armand Assante	1949	\N	actor,producer,music_department	tt0116441,tt0765429,tt0104802,tt0113492
nm0000834	Kathy Baker	1950	\N	actress,producer,archive_footage	tt0103512,tt1315216,tt0159365,tt0124315
nm0000836	Scott Bakula	1954	\N	actor,producer,director	tt0096684,tt1291580,tt0169547,tt1130080
nm0000838	Daniel Baldwin	1960	\N	actor,director,producer	tt1600194,tt1830617,tt0368479,tt0758751
nm0000870	Kathy Bates	1948	\N	actress,producer,director	tt0100157,tt0109642,tt0120338,tt0101921
nm0000874	Steven Bauer	1956	\N	actor,producer,music_department	tt0181865,tt0086250,tt0117381,tt1769323
nm0000880	Meredith Baxter	1947	\N	actress,producer,miscellaneous	tt0074119,tt0083413,tt0105833,tt0073992
nm0000883	Stephanie Beacham	1947	\N	actress,soundtrack,archive_footage	tt0081856,tt0452643,tt0068505,tt0088496
nm0000892	Jason Beghe	1960	\N	actor,producer,archive_footage	tt1458175,tt0103074,tt0095652,tt0119173
nm0000920	Patrick Bergin	1951	\N	actor,producer,soundtrack	tt0102945,tt0105112,tt0102797,tt0102340
nm0000925	Steven Berkoff	1937	\N	actor,writer,director	tt0086034,tt0066921,tt1243957,tt0086960
nm0000929	Corbin Bernsen	1954	\N	actor,producer,writer	tt0373469,tt0097815,tt0110442,tt0116075
nm0000950	Brenda Blethyn	1946	\N	actress,writer,soundtrack	tt0414387,tt0117589,tt0147004,tt0195234
nm0000952	Hart Bochner	1956	\N	actor,director,writer	tt0095016,tt0078902,tt0106364,tt0088206
nm0000953	Peter Bogdanovich	1939	2022	actor,director,writer	tt0067328,tt0063671,tt0070510,tt0079843
nm0000967	Eric Braeden	1941	\N	actor,producer,archive_footage	tt0069658,tt0067065,tt0120338,tt0064177
nm0000968	Sonia Braga	1950	\N	actress,producer,miscellaneous	tt0077452,tt0089424,tt0095654
nm0000977	Beau Bridges	1941	\N	actor,director,producer	tt0097322,tt0467197,tt1033575,tt2097307
nm0000981	James Brolin	1940	\N	actor,producer,director	tt0181865,tt0077294,tt0078767,tt0070909
nm0000986	Bryan Brown	1947	\N	actor,producer,writer	tt0094889,tt0145547,tt0080310,tt0101846
nm0000995	Ellen Burstyn	1932	\N	actress,producer,director	tt0180093,tt0071115,tt0070047,tt0067328
nm0000996	LeVar Burton	1957	\N	actor,director,producer	tt0111280,tt0117731,tt0120844,tt0253754
nm0001002	Dean Cain	1966	\N	actor,producer,writer	tt0106057,tt2528814,tt0250687,tt0313443
nm0001003	Simon Callow	1949	\N	actor,writer,director	tt0109831,tt0091867,tt0138097,tt0293508
nm0001018	Keith Carradine	1949	\N	actor,music_department,composer	tt0073440,tt0409847,tt0773262,tt0348914
nm0001021	Veronica Cartwright	1949	\N	actress,soundtrack,archive_footage	tt0078748,tt0094332,tt0077745,tt0056869
nm0001026	Joanna Cassidy	\N	\N	actress,producer,miscellaneous	tt0083658,tt0096438,tt0098051,tt0248654
nm0001029	Jim Caviezel	1968	\N	actor,producer,soundtrack	tt0335345,tt0120863,tt0186151,tt0225071
nm0001034	Rosalind Chao	\N	\N	actress,soundtrack,archive_footage	tt13016388,tt12809988,tt4370596,tt0322330
nm0001036	Geraldine Chaplin	1944	\N	actress,writer,soundtrack	tt0287467,tt0059113,tt0073440,tt0464141
nm0001038	Josh Charles	1971	\N	actor,producer,director	tt0097165,tt0430105,tt0257076,tt1442462
nm0001043	Anna Chlumsky	1980	\N	actress,soundtrack,archive_footage	tt0102492,tt1759761,tt0110613,tt0113188
nm0001062	Jeffrey Combs	1954	\N	actor,miscellaneous,soundtrack	tt0116365,tt0089885,tt0106145,tt1999995
nm0001069	Bud Cort	1948	2026	actor,director,writer	tt0362270,tt0067185,tt0066026,tt0200550
nm0001080	Lindsay Crouse	1948	\N	actress,miscellaneous,soundtrack	tt0115571,tt0076723,tt0780571,tt0140352
nm0001086	Alan Cumming	1965	\N	actor,producer,director	tt0254099,tt0158622,tt0362165,tt0113189
nm0001096	Timothy Dalton	1946	\N	actor,miscellaneous,soundtrack	tt0093428,tt0097742,tt0425112,tt0080745
nm0001097	Charles Dance	1946	\N	actor,producer,director	tt0280707,tt2084970,tt0944947,tt0107362
nm0001100	Blythe Danner	1943	\N	actress,miscellaneous,soundtrack	tt0212338,tt0434139,tt1092026,tt3236120
nm0001101	Ted Danson	1947	\N	actor,producer,writer	tt0083399,tt4955642,tt0082089,tt0098966
nm0001108	Robert Davi	1951	\N	actor,producer,director	tt0095016,tt0089218,tt0097742,tt2333784
nm0001111	Jeremy Davies	1969	\N	actor,archive_footage	tt0120815,tt0307479,tt0117998,tt0274812
nm0001117	Bruce Davison	1946	\N	actor,director,producer	tt0120903,tt18335752,tt0100049,tt5071412
nm0001122	Ellen DeGeneres	1958	\N	producer,writer,actress	tt0379623,tt2796782,tt0108761,tt0266543
nm0001131	Patrick Dempsey	1966	\N	actor,production_manager,producer	tt0413573,tt0092718,tt0461770,tt1399103
nm0001133	Brian Dennehy	1938	2020	actor,producer,director	tt0083944,tt0117509,tt0090022,tt0088933
nm0001160	Adrian Dunbar	1958	\N	actor,producer,director	tt0104036,tt0102014,tt0097937,tt2303687
nm0001162	Griffin Dunne	1955	\N	actor,director,producer	tt0088680,tt0082010,tt1333125,tt0790636
nm0001177	Chris Eigeman	1965	\N	actor,director,writer	tt0100142,tt0252076,tt0120728,tt0109219
nm0001183	Bodhi Elfman	1969	\N	actor,producer,writer	tt0120749,tt0120660,tt0369339,tt0111686
nm0001187	Noah Emmerich	1965	\N	actor,director	tt1650062,tt0120382,tt0115639,tt0349825
nm0001190	David Prowse	1935	2020	actor,miscellaneous,archive_footage	tt0076759,tt0086190,tt0066921,tt0080684
nm0001194	Jeff Fahey	1952	\N	actor,producer,miscellaneous	tt0411008,tt0111756,tt5465142,tt0437086
nm0001200	Gary Farmer	1953	\N	actor,director,miscellaneous	tt0112817,tt0165798,tt0098112,tt0120321
nm0001204	Marty Feldman	1934	1982	writer,actor,script_department	tt0072431,tt0080917,tt0076297,tt0129696
nm0001208	Miguel Ferrer	1955	2017	actor,director,cinematographer	tt0284718,tt0181865,tt0105665,tt0093870
nm0001213	Harvey Fierstein	1952	\N	actor,writer,soundtrack	tt0116629,tt0109348,tt0107614,tt0120762
nm0001216	Tara Fitzgerald	1967	\N	actress,director,music_department	tt1528100,tt0115744,tt0111201,tt0944947
nm0001218	Sean Patrick Flanery	1965	\N	actor,producer,writer	tt0114168,tt0144117,tt14537248,tt1477076
nm0001231	Claire Forlani	1971	\N	actress,producer,archive_footage	tt0119643,tt0132347,tt0460780,tt0385002
nm0001233	Robert Forster	1941	2019	actor,producer,director	tt0119396,tt1033575,tt0166924,tt2302755
nm0001236	Meg Foster	1948	\N	actress,archive_footage	tt0096256,tt0093507,tt0097737,tt1731697
nm0001242	Matt Frewer	1958	\N	actor,writer,producer	tt0409459,tt2120120,tt0119282,tt0097523
nm0001251	Peter Gallagher	1955	\N	actor,writer,soundtrack	tt0169547,tt0362359,tt0280590,tt0105151
nm0001263	Jason Gedrick	\N	\N	actor,director,writer	tt1578887,tt3502248,tt0773262,tt0101393
nm0001264	Sarah Michelle Gellar	1977	\N	actress,producer,editorial_department	tt0118276,tt0139134,tt0267913,tt0119345
nm0001269	Cynthia Gibb	1963	\N	actress,director,producer	tt0083412,tt0107065,tt0091886,tt0096101
nm0001272	Annabeth Gish	1971	\N	actress,archive_footage	tt0095690,tt0115639,tt0113987,tt0133189
nm0001274	Paul Michael Glaser	1943	\N	actor,producer,director	tt0072567,tt0067093,tt0335438,tt0093894
nm0001278	John Glover	1944	\N	actor,miscellaneous,soundtrack	tt0099700,tt0096061,tt0113409,tt0120784
nm0001291	Rupert Graves	1963	\N	actor,writer,director	tt0434409,tt0091867,tt0093512,tt0795368
nm0001293	Seth Green	1974	\N	actor,writer,producer	tt0437745,tt0317740,tt0118655,tt0320244
nm0001297	Joel Grey	1932	\N	actor,camera_department,soundtrack	tt0068327,tt0089901,tt0168629,tt1024715
nm0001305	Lukas Haas	1976	\N	actor,music_department,soundtrack	tt1375666,tt0090329,tt0116996,tt0095484
nm0001307	Stacy Haiduk	1968	\N	actress,producer,archive_footage	tt0069658,tt0094559,tt0100688,tt0455275
nm0001309	Anthony Michael Hall	1968	\N	actor,producer,director	tt4758646,tt2361317,tt1100089,tt0468569
nm0001314	John Hannah	1962	\N	actor,producer,archive_footage	tt0109831,tt0120616,tt0174856,tt1442449
nm0001319	Mark Harmon	1951	\N	actor,producer,director	tt0364845,tt0360139,tt0322330,tt0094072
nm0001324	Ian Hart	1964	\N	actor,writer,miscellaneous	tt0106339,tt0241527,tt0120660,tt5797184
nm0001327	David Hasselhoff	1952	\N	actor,producer,writer	tt0096542,tt0083437,tt1714203,tt3896198
nm0001334	John Heard	1946	2017	actor,producer,soundtrack	tt0083722,tt0094737,tt0406816,tt0099785
nm0001337	Katherine Heigl	1978	\N	actress,producer,soundtrack	tt1598828,tt0478311,tt1142988,tt0413573
nm0001344	Gregg Henry	\N	\N	actor,music_department,producer	tt2015381,tt0120784,tt0439815,tt1837576
nm0001346	Edward Herrmann	1943	2014	actor,miscellaneous,soundtrack	tt0093693,tt0093437,tt0082979,tt0083564
nm0001348	Werner Herzog	1942	\N	director,writer,producer	tt0083946,tt0068182,tt0790724,tt0427312
nm0001349	Jennifer Love Hewitt	1979	\N	actress,producer,director	tt0119345,tt0130018,tt0290095,tt0125022
nm0001354	Ciarán Hinds	1953	\N	actor,producer,soundtrack	tt12789558,tt1596365,tt1340800,tt2294629
nm0001358	Hal Holbrook	1925	2021	actor,director,writer	tt0758758,tt0443272,tt0077294,tt0074119
nm0001367	C. Thomas Howell	1966	\N	actor,producer,director	tt0086066,tt0091209,tt0083866,tt0107007
nm0001368	Ernie Hudson	1945	\N	actor,producer,writer	tt0087332,tt7146326,tt0097428,tt0109506
nm0001373	Linda Hunt	1945	\N	actress,soundtrack,archive_footage	tt0086617,tt0087182,tt0099938,tt0114148
nm0001383	David Hyde Pierce	1959	\N	actor,producer,writer	tt0106004,tt0120623,tt0133240,tt0309530
nm0001394	Derek Jacobi	1938	\N	actor,producer,soundtrack	tt0280707,tt0172495,tt0101669,tt1521197
nm0001399	Marianne Jean-Baptiste	1967	\N	actress,director,producer	tt0321021,tt0117589,tt0266987,tt11891850
nm0001406	Carol Kane	1952	\N	actress,producer,soundtrack	tt0093779,tt0106220,tt0096061,tt0075686
nm0001411	William Katt	1951	\N	actor,director,writer	tt0756683,tt0074285,tt0091223,tt0081871
nm0001427	Greg Kinnear	1963	\N	actor,producer,writer	tt0119822,tt0449059,tt0114319,tt0128853
nm0001431	Wayne Knight	1955	\N	actor,soundtrack,archive_footage	tt0107290,tt0092890,tt0250687,tt0098904
nm0001435	Lisa Kudrow	1963	\N	actress,producer,writer	tt0108778,tt0434672,tt0120777,tt1282140
nm0001441	Christine Lahti	1950	\N	actress,director,soundtrack	tt0108724,tt0096018,tt0410997,tt0078718
nm0001447	Nathan Lane	1956	\N	actor,producer,soundtrack	tt0395251,tt0115685,tt0110357,tt0119715
nm0001457	James Le Gros	1962	\N	actor,producer,stunts	tt0097240,tt1492030,tt4468634,tt30319516
nm0001458	Cloris Leachman	1926	2021	actress,miscellaneous,soundtrack	tt0067328,tt0072431,tt0371246,tt0481499
