tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt3275754	tvEpisode	Grey Water	Grey Water	0	2014	\N	42	Crime,Drama,Mystery
tt3275756	tvEpisode	White as the Driven Snow	White as the Driven Snow	0	2014	\N	43	Crime,Drama,Mystery
tt3275758	tvEpisode	Black Helicopters	Black Helicopters	0	2014	\N	42	Crime,Drama,Mystery
tt3275760	tvEpisode	Violets	Violets	0	2014	\N	41	Crime,Drama,Mystery
tt3275762	tvEpisode	Silver Wings of Time	Silver Wings of Time	0	2014	\N	42	Crime,Drama,Mystery
tt3275764	tvEpisode	Black Hearts	Black Hearts	0	2014	\N	41	Crime,Drama,Mystery
tt3275766	tvEpisode	Il Tavolo Bianco	Il Tavolo Bianco	0	2014	\N	41	Crime,Drama,Mystery
tt3275768	tvEpisode	Brown Eyed Girls	Brown Eyed Girls	0	2014	\N	43	Crime,Drama,Mystery
tt3275770	tvEpisode	Forest Green	Forest Green	0	2014	\N	44	Crime,Drama,Mystery
tt3275772	tvEpisode	Blue Bird	Blue Bird	0	2014	\N	43	Crime,Drama,Mystery
tt32759442	tvEpisode	Watson	Watson	0	2024	\N	\N	Crime,Drama,Mystery
tt3276448	tvEpisode	General Ludd (No. 109)	General Ludd (No. 109)	0	2013	\N	42	Crime,Drama,Mystery
tt3276450	tvEpisode	Anslo Garrick (No. 16)	Anslo Garrick (No. 16)	0	2013	\N	42	Crime,Drama,Mystery
tt3276452	tvEpisode	Anslo Garrick (No. 16): Conclusion	Anslo Garrick (No. 16): Conclusion	0	2013	\N	42	Crime,Drama,Mystery
tt3276454	tvEpisode	The Good Samaritan (No. 106)	The Good Samaritan (No. 106)	0	2014	\N	43	Crime,Drama,Mystery
tt3276456	tvEpisode	The Alchemist (No. 101)	The Alchemist (No. 101)	0	2014	\N	43	Crime,Drama,Mystery
tt3276458	tvEpisode	The Cyprus Agency (No. 64)	The Cyprus Agency (No. 64)	0	2014	\N	43	Crime,Drama,Mystery
tt3276460	tvEpisode	Madeline Pratt (No. 73)	Madeline Pratt (No. 73)	0	2014	\N	42	Crime,Drama,Mystery
tt3276462	tvEpisode	The Judge (No. 57)	The Judge (No. 57)	0	2014	\N	42	Crime,Drama,Mystery
