tconst	ordering	nconst	category	job	characters
tt0509019	10	nm0055727	actor	\N	["Mr. Bailey"]
tt0509020	1	nm0863790	actor	\N	["James Herriot"]
tt0509020	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509020	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509020	4	nm0237958	actress	\N	["Helen Herriot"]
tt0509020	5	nm0113243	actor	\N	["Richard Carmody"]
tt0509020	6	nm0383662	actress	\N	["Mrs. Hall"]
tt0509020	7	nm0514256	actor	\N	["Frank Metcalfe"]
tt0509020	8	nm0203915	actress	\N	["Mary Metcalfe"]
tt0509020	9	nm0341033	actor	\N	["Harry Allinson"]
tt0509020	10	nm0759068	actor	\N	["Gobber Newhouse"]
tt0509021	1	nm0863790	actor	\N	["James Herriot"]
tt0509021	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509021	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509021	4	nm0237958	actress	\N	["Helen Alderson"]
tt0509021	5	nm0779540	actress	\N	["Mrs. Pumphrey"]
tt0509021	6	nm0752686	actress	\N	["Miss Harbottle"]
tt0509021	7	nm0178058	actor	\N	["Mr. Crump"]
tt0509021	8	nm0373520	actress	\N	["Mrs. Seaton"]
tt0509021	9	nm0542906	actor	\N	["Richard Edmundson"]
tt0509021	10	nm0383662	actress	\N	["Mrs. Hall"]
tt0509022	1	nm0863790	actor	\N	["James Herriot"]
tt0509022	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509022	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509022	4	nm0237958	actress	\N	["Helen"]
tt0509022	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509022	6	nm0334311	actress	\N	["Mrs. Bond"]
tt0509022	7	nm0778573	actor	\N	["Harry Sumner"]
tt0509022	8	nm0540697	actor	\N	["Mr. Dean"]
tt0509022	9	nm0266838	actor	\N	["Joe Mulligan"]
tt0509022	10	nm0498730	actor	\N	["Mr. Bond"]
tt0509023	1	nm0863790	actor	\N	["James Herriot"]
tt0509023	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509023	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509023	4	nm0237958	actress	\N	["Helen"]
tt0509023	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509023	6	nm0909060	actor	\N	["Ronald Beresford"]
tt0509023	7	nm0794077	actress	\N	["Marjorie Simpson"]
tt0509023	8	nm0859634	actor	\N	["Mr. Bailey"]
tt0509023	9	nm0603078	actress	\N	["Sarah Raworth"]
tt0509023	10	nm0457740	actor	\N	["Ted Dobson"]
tt0509024	1	nm0863790	actor	\N	["James Herriot"]
tt0509024	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509024	3	nm0569475	actor	\N	["Calum Buchanan"]
tt0509024	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509024	5	nm0789070	actor	\N	["Mr. Biggins"]
tt0509024	6	nm0697799	actor	\N	["Grimsdale"]
tt0509024	7	nm0455588	actor	\N	["Major Bullen"]
tt0509024	8	nm0944037	actor	\N	["Dennis Pratt"]
tt0509024	9	nm0486017	actor	\N	["Mallaby"]
tt0509024	10	nm0269922	actor	\N	["Mallock"]
tt0509025	1	nm0863790	actor	\N	["James Herriot"]
tt0509025	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509025	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509025	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509025	5	nm0569475	actor	\N	["Calum Buchanan"]
tt0509025	6	nm0316447	actress	\N	["Deirdre"]
tt0509025	7	nm0681826	actor	\N	["Sir Robert"]
tt0509025	8	nm1535577	actress	\N	["Kate Ingram"]
tt0509025	9	nm0352567	actress	\N	["Mrs Hird"]
tt0509025	10	nm0334378	actress	\N	["Ruth Bramley"]
tt0509026	1	nm0863790	actor	\N	["James Herriot"]
tt0509026	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509026	3	nm0069019	actress	\N	["Helen Herriot"]
tt0509026	4	nm0569475	actor	\N	["Calum Buchanan"]
tt0509026	5	nm0703629	actor	\N	["Andrew Bruce"]
tt0509026	6	nm0774540	actor	\N	["Mr. Pickersgill"]
tt0509026	7	nm0105156	actor	\N	["Mr. Dumbleby"]
tt0509026	8	nm0334451	actor	\N	["Walter Hugill"]
tt0509026	9	nm1414290	actor	\N	["Thomas Hugill"]
tt0509026	10	nm0734673	actor	\N	["Fenwick Hugill"]
tt0509027	1	nm0863790	actor	\N	["James Herriot"]
tt0509027	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509027	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509027	4	nm0779540	actress	\N	["Mrs. Pumphrey"]
tt0509027	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509027	6	nm0540697	actor	\N	["Mr. Dean"]
tt0509027	7	nm0783616	actor	\N	["Soames"]
tt0509027	8	nm0552899	actor	\N	["Handshaw"]
tt0509027	9	nm0877899	actor	\N	["Hodgekin"]
tt0509027	10	nm0578477	actress	\N	["Diana Brompton"]
tt0509028	1	nm0863790	actor	\N	["James Herriot"]
tt0509028	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509028	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509028	4	nm0237958	actress	\N	["Helen"]
tt0509028	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509028	6	nm0779540	actress	\N	["Mrs. Pumphrey"]
tt0509028	7	nm0167839	actor	\N	["Mr. Barge"]
tt0509028	8	nm0789070	actor	\N	["Mr. Biggins"]
tt0509028	9	nm0662864	actor	\N	["Ned Finch"]
tt0509028	10	nm0724341	actor	\N	["Mr. Dent"]
tt0509029	1	nm0863790	actor	\N	["James Herriot"]
tt0509029	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509029	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509029	4	nm0237958	actress	\N	["Helen"]
tt0509029	5	nm0383662	actress	\N	["Mrs. Hall"]
tt0509029	6	nm0654148	actor	\N	["Dick Tavener"]
tt0509029	7	nm0779540	actress	\N	["Mrs. Pumphrey"]
tt0509029	8	nm0390140	actress	\N	["Julia Tavener"]
tt0509029	9	nm1535004	actress	\N	["Mrs. Tavener"]
tt0509029	10	nm0104807	actress	\N	["Miss Stubbs"]
tt0509030	1	nm0863790	actor	\N	["James Herriot"]
tt0509030	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509030	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509030	4	nm0237958	actress	\N	["Helen"]
tt0509030	5	nm0383662	actress	\N	["Mrs Hall"]
tt0509030	6	nm0567018	actor	\N	["Ewan Ross"]
tt0509030	7	nm0156029	actress	\N	["Virginia Ross"]
tt0509030	8	nm0670230	actor	\N	["Marmaduke Skelton"]
tt0509030	9	nm0914363	actor	\N	["Cornelius Skelton"]
tt0509030	10	nm0602030	actor	\N	["Albert Skerry"]
tt0509031	1	nm0863790	actor	\N	["James Herriot"]
tt0509031	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509031	3	nm0069019	actress	\N	["Helen Herriot"]
tt0509031	4	nm0382402	actress	\N	["Mrs Alton"]
tt0509031	5	nm0484553	actor	\N	["Stewie Brannan"]
tt0509031	6	nm0122498	actor	\N	["Professor Norton"]
tt0509031	7	nm0072611	actor	\N	["Bernard Wain"]
